,year,name,college,pos,height,weight,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,40_yard_percentile,bench_press_percentile,vert_leap_percentile,broad_jump_percentile,shuttle_percentile,3_cone_percentile,avg_percentile
80,2000,Jason Gavadza,Kent State (OH),TE,75.0,249,,4.62,22.0,32.5,113.0,4.3,7.15,1.0,0.571428571,0.5,0.5,0.375,0.5,0.5744047618333333
81,2000,Trevor Gaylor,Miami (OH),WR,75.3,199,,4.59,,37.5,121.0,4.29,7.03,0.357142857,,0.75,0.52,0.111111111,0.421052632,
82,2000,Kabeer Gbaja-Biamila,San Diego State,OLB,76.0,243,,4.65,21.0,34.0,120.0,4.28,6.9,0.5,0.384615385,0.538461538,0.846153846,0.545454545,1.0,0.6357808856666667
83,2000,Sherrod Gideon,Southern Mississippi,WR,71.1,173,,4.69,,,,,,0.071428571,,,,,,
84,2000,Ian Gold,Michigan,OLB,73.1,221,,4.58,21.0,33.0,115.0,4.19,6.97,0.8125,0.384615385,0.461538462,0.461538462,0.727272727,0.727272727,0.5957896271666666
85,2000,Deon Grant,Tennessee,SS,73.8,209,,4.5,15.0,,,,,1.0,0.333333333,,,,,
86,2000,Ernest Grant,Arkansas-Pine Bluff,DT,77.3,316,,5.33,24.0,29.5,98.0,5.03,8.0,0.0,0.315789474,0.526315789,0.105263158,0.0,0.0,0.15789473683333333
87,2000,Lamar Grant,Duke,CB,70.8,188,,4.66,16.0,32.0,117.0,4.3,7.3,0.074074074,0.4,0.0,0.346153846,0.090909091,0.130434783,0.173595299
88,2000,Brian Gray,Brigham Young,CB,73.3,214,,4.95,19.0,33.5,116.0,4.24,7.38,0.0,0.9,0.08,0.115384615,0.272727273,0.086956522,0.24251140166666665
89,2000,Jonathan Gray,Texas Tech,OT,76.1,338,,5.94,20.0,23.0,94.0,,,0.0,0.111111111,0.066666667,0.0,,,
90,2000,Barrett Green,West Virginia,OLB,73.0,233,,4.56,22.0,36.0,120.0,,,0.875,0.769230769,0.846153846,0.846153846,,,
91,2000,Mike Green,Houston,FB,71.6,253,,4.8,25.0,28.5,108.0,4.34,7.08,0.75,0.8,0.375,0.125,0.571428571,0.571428571,0.5321428570000001
92,2000,Mike Green,Northwestern State (LA),FS,72.1,189,,4.56,,38.5,118.0,4.2,,0.818181818,,0.888888889,0.333333333,0.6,,
93,2000,Cornelius Griffin,Alabama,DE,75.1,297,,4.91,30.0,31.0,111.0,4.62,7.63,0.625,0.846153846,0.4,0.333333333,0.142857143,0.384615385,0.45532661783333334
94,2000,Clark Haggans,Colorado State,OLB,75.4,253,,5.01,20.0,31.5,109.0,4.21,7.12,0.0,0.230769231,0.153846154,0.0,0.636363636,0.545454545,0.261072261
95,2000,Dante' Hall,Texas A&M,RB,67.8,191,,4.46,18.0,38.0,123.0,3.82,6.62,0.884615385,0.368421053,0.909090909,0.791666667,1.0,1.0,0.8256323356666666
96,2000,James Hall,Michigan,DE,74.1,271,,5.04,,32.0,111.0,4.51,7.86,0.3125,,0.466666667,0.333333333,0.357142857,0.076923077,
97,2000,Troy Hambrick,Savannah State (GA),RB,72.1,237,,4.72,21.0,34.5,118.0,4.44,7.48,0.153846154,0.684210526,0.5,0.458333333,0.052631579,0.0,0.3081702653333333
98,2000,Joe Hamilton,Georgia Tech,QB,70.3,192,18.0,4.84,,,106.0,,,0.823529412,,,0.588235294,,,
99,2000,Thomas Hamner,Minnesota,RB,72.1,197,,4.54,17.0,32.0,125.0,4.07,6.97,0.692307692,0.315789474,0.181818182,0.875,0.894736842,0.526315789,0.5809946631666666
100,2000,D'Andre Hardeman,Texas A&M,FB,70.0,238,,4.82,,30.0,109.0,4.36,7.27,0.625,,0.5,0.25,0.428571429,0.428571429,
101,2000,Antwan Harris,Virginia,CB,69.1,186,,4.37,16.0,39.0,121.0,4.01,6.75,1.0,0.4,0.96,0.653846154,0.681818182,0.739130435,0.7391324618333334
102,2000,Jeff Harris,Georgia,CB,72.4,190,,4.55,,34.5,114.0,4.25,6.73,0.407407407,,0.24,0.038461538,0.181818182,0.782608696,
103,2000,Lloyd Harrison,North Carolina State,CB,70.0,190,,4.57,16.0,37.5,119.0,4.25,7.12,0.222222222,0.4,0.76,0.461538462,0.181818182,0.304347826,0.3883211153333333
104,2000,Windrell Hayes,Southern California,WR,71.0,204,,4.5,,,,4.18,7.33,0.821428571,,,,0.277777778,0.0,
105,2000,Semisi Heimuli,Texas A&M,OG,73.4,312,,5.43,20.0,29.0,94.0,4.63,7.94,0.285714286,0.222222222,0.611111111,0.166666667,0.75,0.470588235,0.41771708683333336
106,2000,Chris Hovan,Boston College,DT,74.4,305,,5.0,35.0,30.0,101.0,4.16,6.85,0.952380952,0.947368421,0.631578947,0.315789474,1.0,1.0,0.8078529656666666
107,2000,Darren Howard,Kansas State,DE,75.8,281,,5.11,,29.0,108.0,4.32,7.0,0.1875,,0.066666667,0.266666667,0.785714286,0.923076923,
108,2000,Ethan Howell,Oklahoma State,CB,71.0,186,,4.56,16.0,,,4.13,6.98,0.259259259,0.4,,,0.545454545,0.47826087,
109,2000,Aaron Humphrey,Texas,DE,74.9,254,,5.13,21.0,34.0,119.0,,,0.0,0.153846154,0.6,0.866666667,,,
110,2000,Todd Husak,Stanford,QB,75.1,216,39.0,5.22,,27.5,99.0,4.41,7.17,0.176470588,,0.357142857,0.235294118,0.461538462,0.846153846,
111,2000,Jabari Issa,Washington,DT,76.9,296,,5.14,19.0,31.5,105.0,4.72,7.69,0.476190476,0.0,0.894736842,0.578947368,0.176470588,0.529411765,0.4426261731666667
112,2000,Al Jackson,Louisiana State,OG,74.6,304,,5.2,19.0,,,,,0.714285714,0.166666667,,,,,
113,2000,Darrell Jackson,Florida,WR,71.8,197,,4.58,,,,,,0.428571429,,,,,,
114,2000,Jarious Jackson,Notre Dame,QB,73.0,226,18.0,4.68,,,109.0,,,0.941176471,,,0.823529412,,,
115,2000,Keith Jackson,Cheyney (PA),DT,76.3,319,,5.21,28.0,,,,,0.333333333,0.736842105,,,,,
116,2000,Marlion Jackson,Saginaw Valley State (MI),RB,73.0,242,,4.65,24.0,35.5,125.0,4.14,7.15,0.384615385,0.947368421,0.636363636,0.875,0.684210526,0.263157895,0.6317859771666666
117,2000,Jeno James,Auburn,OG,75.1,320,,5.66,24.0,25.5,94.0,5.22,8.51,0.047619048,0.5,0.111111111,0.166666667,0.0,0.0,0.13756613766666667
118,2000,Ronney Jenkins,Northern Arizona,RB,70.5,184,,4.51,18.0,,118.0,,,0.769230769,0.368421053,,0.458333333,,,
119,2000,Brandon Jennings,Texas A&M,FS,72.4,198,,4.54,16.0,38.0,123.0,4.14,6.91,1.0,0.875,0.777777778,0.555555556,0.8,0.666666667,0.7791666668333334
120,2000,Ryan Johanningmeier,Colorado,OG,77.9,310,,5.28,,29.0,107.0,4.66,7.9,0.571428571,,0.611111111,0.944444444,0.6875,0.647058824,
121,2000,Doug Johnson,Florida,QB,74.4,226,28.0,4.95,,29.5,96.0,,,0.529411765,,0.642857143,0.058823529,,,
122,2000,Dwight Johnson,Baylor,DT,76.0,285,,5.03,26.0,28.0,105.0,4.76,7.51,0.80952381,0.578947368,0.157894737,0.578947368,0.117647059,0.647058824,0.48166986100000003
123,2000,Eric Johnson,Nebraska,SS,72.0,215,,4.63,12.0,38.0,121.0,4.17,6.96,0.222222222,0.0,0.833333333,0.857142857,0.666666667,0.333333333,0.48544973533333335
